Milliseconds,RPM,RPM EGO Motor,Brake Motor RPM,PWM Duty Cycle(%),Counter Torque,Counter Torque(Nm),ESC Voltage(V),ESC Input Current(A)
54700,326,678.08,652,14,2591.215,0.002591215,8.41,1.85
54800,321,667.68,642,14,2551.472,0.002551472,8.41,1.66
54900,321,667.68,642,14,2551.472,0.002551472,8.41,1.79
55000,320,665.6,640,14,2543.524,0.002543524,8.41,1.73
55100,320,665.6,640,14,2543.524,0.002543524,8.41,1.85
55200,315,655.2,630,14,2503.781,0.002503781,8.41,1.79
55300,315,655.2,630,14,2503.781,0.002503781,8.41,1.85
55400,313,651.04,626,14,2487.884,0.002487884,8.41,1.85
55500,313,651.04,626,14,2487.884,0.002487884,8.41,1.73
55600,306,636.48,612,14,2432.245,0.002432245,8.41,1.73
55700,306,636.48,612,14,2432.245,0.002432245,8.41,1.66
55800,305,634.4,610,14,2424.296,0.002424296,8.41,1.79
55900,305,634.4,610,14,2424.296,0.002424296,8.41,1.79
56000,299,621.92,598,14,2376.605,0.002376605,8.41,1.73
56100,299,621.92,598,14,2376.605,0.002376605,8.41,1.73
56200,298,619.84,596,14,2368.657,0.002368657,8.41,1.79
56300,298,619.84,596,14,2368.657,0.002368657,8.41,1.85
56400,296,615.68,592,14,2352.76,0.00235276,8.41,1.85
56500,296,615.68,592,14,2352.76,0.00235276,8.41,1.73
56600,296,615.68,592,14,2352.76,0.00235276,8.41,1.79
56700,296,615.68,592,14,2352.76,0.00235276,8.41,1.66
56800,290,603.2,580,14,2305.069,0.002305069,8.41,1.79
56900,290,603.2,580,14,2305.069,0.002305069,8.41,1.66
57000,286,594.88,572,14,2273.274,0.002273274,8.41,1.73
57100,286,594.88,572,14,2273.274,0.002273274,8.41,1.73
57200,286,594.88,572,14,2273.274,0.002273274,8.41,1.73
57300,282,586.56,564,14,2241.48,0.00224148,8.41,1.79
57400,282,586.56,564,14,2241.48,0.00224148,8.41,1.73
57500,280,582.4,560,14,2225.583,0.002225583,8.41,1.79
57600,280,582.4,560,14,2225.583,0.002225583,8.41,1.66
57700,277,576.16,554,14,2201.738,0.002201738,8.41,1.79
57800,277,576.16,554,14,2201.738,0.002201738,8.41,1.79
57900,277,576.16,554,14,2201.738,0.002201738,8.41,1.79
58000,277,576.16,554,14,2201.738,0.002201738,8.41,1.85
58100,277,576.16,554,14,2201.738,0.002201738,8.41,1.66
58200,275,572,550,14,2185.841,0.002185841,8.41,1.85
58300,275,572,550,14,2185.841,0.002185841,8.41,1.73
58400,272,565.76,544,14,2161.995,0.002161995,8.41,1.73
58500,272,565.76,544,14,2161.995,0.002161995,8.41,1.85
58600,269,559.52,538,14,2138.15,0.00213815,8.41,1.73
58700,269,559.52,538,14,2138.15,0.00213815,8.41,1.79
58800,273,567.84,546,17,2169.944,0.002169944,8.41,2.28
58900,273,567.84,546,17,2169.944,0.002169944,8.41,2.53
59000,321,667.68,642,17,2551.472,0.002551472,8.39,2.47
59100,321,667.68,642,17,2551.472,0.002551472,8.39,2.59
59200,381,792.48,762,17,3028.383,0.003028383,8.41,2.59
59300,429,892.32,858,17,3409.912,0.003409912,8.41,2.41
59400,429,892.32,858,17,3409.912,0.003409912,8.41,2.34
59500,463,963.04,926,17,3680.161,0.003680161,8.41,2.41
59600,495,1029.6,990,17,3934.514,0.003934514,8.41,2.41
59700,519,1079.52,1038,17,4125.278,0.004125278,8.41,2.53
59800,544,1131.52,1088,17,4323.991,0.004323991,8.41,2.47
59900,544,1131.52,1088,17,4323.991,0.004323991,8.39,2.59
60000,564,1173.12,1128,17,4482.961,0.004482961,8.41,2.41
60100,585,1216.8,1170,17,4649.88,0.00464988,8.39,2.34
60200,599,1245.92,1198,17,4761.159,0.004761159,8.39,2.59
60300,617,1283.36,1234,17,4904.232,0.004904232,8.41,2.47
60400,629,1308.32,1258,17,4999.614,0.004999614,8.41,2.41
60500,644,1339.52,1288,17,5118.842,0.005118842,8.41,2.34
60600,665,1383.2,1330,17,5285.761,0.005285761,8.39,2.59
60700,673,1399.84,1346,17,5349.349,0.005349349,8.41,2.34
60800,684,1422.72,1368,17,5436.782,0.005436782,8.41,2.34
60900,689,1433.12,1378,17,5476.525,0.005476525,8.41,2.41
61000,699,1453.92,1398,17,5556.01,0.00555601,8.41,2.41
61100,704,1464.32,1408,17,5595.753,0.005595753,8.39,2.53
61200,713,1483.04,1426,17,5667.289,0.005667289,8.41,2.53
61300,717,1491.36,1434,17,5699.083,0.005699083,8.41,2.41
61400,728,1514.24,1456,17,5786.517,0.005786517,8.41,2.34
61500,736,1530.88,1472,17,5850.105,0.005850105,8.41,2.53
61600,738,1535.04,1476,17,5866.002,0.005866002,8.41,2.53
61700,745,1549.6,1490,17,5921.642,0.005921642,8.41,2.41
61800,745,1549.6,1490,17,5921.642,0.005921642,8.41,2.47
61900,751,1562.08,1502,17,5969.333,0.005969333,8.39,2.41
62000,756,1572.48,1512,17,6009.075,0.006009075,8.41,2.34
62100,756,1572.48,1512,17,6009.075,0.006009075,8.39,2.41
62200,762,1584.96,1524,17,6056.766,0.006056766,8.39,2.53
62300,762,1584.96,1524,17,6056.766,0.006056766,8.41,2.34
62400,766,1593.28,1532,17,6088.56,0.00608856,8.41,2.34
62500,771,1603.68,1542,17,6128.303,0.006128303,8.41,2.47
62600,770,1601.6,1540,17,6120.354,0.006120354,8.39,2.53
62700,774,1609.92,1548,17,6152.148,0.006152148,8.39,2.53
62800,779,1620.32,1558,17,6191.891,0.006191891,8.39,2.59
62900,778,1618.24,1556,17,6183.942,0.006183942,8.41,2.34
63000,782,1626.56,1564,17,6215.737,0.006215737,8.39,2.41
63100,781,1624.48,1562,17,6207.788,0.006207788,8.41,2.53
63200,785,1632.8,1570,17,6239.582,0.006239582,8.39,2.53
63300,788,1639.04,1576,17,6263.428,0.006263428,8.41,2.41
63400,786,1634.88,1572,17,6247.531,0.006247531,8.41,2.47
63500,789,1641.12,1578,17,6271.376,0.006271376,8.39,2.53
63600,790,1643.2,1580,17,6279.325,0.006279325,8.41,2.41
63700,787,1636.96,1574,17,6255.479,0.006255479,8.39,2.47
63800,791,1645.28,1582,17,6287.273,0.006287273,8.41,2.34
63900,789,1641.12,1578,17,6271.376,0.006271376,8.41,2.28
64000,791,1645.28,1582,17,6287.273,0.006287273,8.39,2.47
64100,794,1651.52,1588,17,6311.119,0.006311119,8.41,2.34
64200,794,1651.52,1588,17,6311.119,0.006311119,8.39,2.47
64300,792,1647.36,1584,17,6295.222,0.006295222,8.41,2.34
64400,796,1655.68,1592,17,6327.016,0.006327016,8.39,2.47
64500,796,1655.68,1592,17,6327.016,0.006327016,8.39,2.47
64600,800,1664,1600,17,6358.81,0.00635881,8.39,2.53
64700,803,1670.24,1606,17,6382.655,0.006382655,8.41,2.41
64800,801,1666.08,1602,17,6366.758,0.006366758,8.41,2.28
64900,803,1670.24,1606,17,6382.655,0.006382655,8.41,2.47
65000,802,1668.16,1604,17,6374.707,0.006374707,8.39,2.41
65100,799,1661.92,1598,17,6350.861,0.006350861,8.41,2.41
65200,802,1668.16,1604,17,6374.707,0.006374707,8.39,2.53
65300,798,1659.84,1596,17,6342.913,0.006342913,8.41,2.28
65400,797,1657.76,1594,17,6334.964,0.006334964,8.39,2.41
65500,797,1657.76,1594,17,6334.964,0.006334964,8.41,2.34
65600,793,1649.44,1586,17,6303.17,0.00630317,8.41,2.28
65700,795,1653.6,1590,17,6319.067,0.006319067,8.39,2.41
65800,788,1639.04,1576,17,6263.428,0.006263428,8.41,2.22
65900,784,1630.72,1568,17,6231.634,0.006231634,8.41,2.41
66000,786,1634.88,1572,17,6247.531,0.006247531,8.41,2.41
66100,787,1636.96,1574,17,6255.479,0.006255479,8.41,2.53
66200,784,1630.72,1568,17,6231.634,0.006231634,8.41,2.53
66300,786,1634.88,1572,17,6247.531,0.006247531,8.39,2.41
66400,783,1628.64,1566,17,6223.685,0.006223685,8.41,2.47
66500,781,1624.48,1562,17,6207.788,0.006207788,8.41,2.22
66600,782,1626.56,1564,17,6215.737,0.006215737,8.41,2.34
66700,779,1620.32,1558,17,6191.891,0.006191891,8.41,2.41
66800,783,1628.64,1566,17,6223.685,0.006223685,8.41,2.47
66900,784,1630.72,1568,17,6231.634,0.006231634,8.39,2.53
67000,782,1626.56,1564,17,6215.737,0.006215737,8.41,2.34
67100,784,1630.72,1568,17,6231.634,0.006231634,8.41,2.41
67200,781,1624.48,1562,17,6207.788,0.006207788,8.39,2.47
67300,781,1624.48,1562,17,6207.788,0.006207788,8.41,2.34
67400,784,1630.72,1568,17,6231.634,0.006231634,8.39,2.53
67500,781,1624.48,1562,17,6207.788,0.006207788,8.41,2.41
67600,783,1628.64,1566,17,6223.685,0.006223685,8.41,2.41
67700,783,1628.64,1566,17,6223.685,0.006223685,8.41,2.34
67800,781,1624.48,1562,17,6207.788,0.006207788,8.41,2.41
